year,practice_code,lad23cd,patients,share
2014,A81035,E06000002,10310,0.96617
2014,A81035,E06000003,355,0.0332677
2014,A81035,E06000004,1,9.37119e-05
2014,A81035,E06000065,5,0.00046856
2014,A81036,E06000001,33,0.00193231
2014,A81036,E06000002,2,0.00011711
2014,A81036,E06000004,17043,0.997951
2014,A81037,E06000002,7121,0.975479
2014,A81037,E06000003,161,0.0220548
2014,A81037,E06000004,18,0.00246575
2014,A81038,E06000002,3098,0.928101
2014,A81038,E06000003,222,0.0665069
2014,A81038,E06000004,18,0.00539245
2014,A81039,E06000004,8727,0.996005
2014,A81039,E06000065,35,0.00399452
2014,A81040,E06000001,71,0.00832649
2014,A81040,E06000002,1,0.000117275
2014,A81040,E06000004,8455,0.991556
2014,A81041,E06000001,9205,0.99924
2014,A81041,E06000004,2,0.000217108
2014,A81041,E06000047,5,0.00054277
2014,A81042,E06000002,240,0.0408998
2014,A81042,E06000003,5616,0.957055
2014,A81042,E06000004,11,0.00187457
2014,A81042,E06000065,1,0.000170416
2014,A81043,E06000002,1071,0.135125
2014,A81043,E06000003,6854,0.864749
2014,A81043,E06000065,1,0.000126167
2014,A81044,E06000001,14261,0.997901
2014,A81044,E06000004,3,0.000209922
2014,A81044,E06000047,27,0.0018893
2014,A81045,E06000003,7493,0.999733
2014,A81045,E06000004,2,0.000266845
2014,A81046,E06000002,2,0.000154345
2014,A81046,E06000004,12956,0.999846
2014,A81047,E06000003,5781,0.999827
2014,A81047,E06000004,1,0.000172951
2014,A81048,E06000002,1,0.000198728
2014,A81048,E06000003,5031,0.999801
2014,A81049,E06000001,1,0.000188822
2014,A81049,E06000002,4768,0.900302
2014,A81049,E06000003,478,0.0902568
2014,A81049,E06000004,47,0.00887462
2014,A81049,E06000065,2,0.000377644
2014,A81051,E06000002,7212,0.977103
2014,A81051,E06000003,160,0.0216773
2014,A81051,E06000004,6,0.000812898
2014,A81051,E06000065,3,0.000406449
2014,A81052,E06000002,2,0.000274461
2014,A81052,E06000003,7285,0.999726
2014,A81053,E06000002,5,0.000751089
2014,A81053,E06000003,6585,0.989184
2014,A81053,E06000004,2,0.000300436
2014,A81053,E06000065,65,0.00976416
2014,A81054,E06000002,1,0.00012639
2014,A81054,E06000003,7911,0.999874
2014,A81056,E06000001,19,0.00733874
2014,A81056,E06000002,2,0.000772499
2014,A81056,E06000004,2568,0.991889
2014,A81057,E06000001,60,0.00698649
2014,A81057,E06000002,1,0.000116442
2014,A81057,E06000004,8527,0.992897
2014,A81058,E06000002,7338,0.989215
2014,A81058,E06000003,49,0.00660555
2014,A81058,E06000004,31,0.00417902
2014,A81060,E06000001,5262,0.998671
2014,A81060,E06000004,3,0.000569368
2014,A81060,E06000047,4,0.000759157
2014,A81063,E06000001,5335,0.991083
2014,A81063,E06000004,34,0.00631618
2014,A81063,E06000047,14,0.00260078
2014,A81064,E06000002,6082,0.966317
2014,A81064,E06000003,184,0.0292342
2014,A81064,E06000004,28,0.00444868
2014,A81065,E06000002,126,0.0385793
2014,A81065,E06000003,3139,0.961115
2014,A81065,E06000004,1,0.000306185
2014,A81066,E06000001,12,0.00287563
2014,A81066,E06000004,3455,0.827942
2014,A81066,E06000005,504,0.120776
2014,A81066,E06000047,202,0.0484064
2014,A81067,E06000001,2,0.000193536
2014,A81067,E06000002,4,0.000387072
2014,A81067,E06000003,2,0.000193536
2014,A81067,E06000004,10325,0.999129
2014,A81067,E06000047,1,9.6768e-05
2014,A81069,E06000002,12,0.00753769
2014,A81069,E06000003,1574,0.988693
2014,A81069,E06000004,6,0.00376884
2014,A81070,E06000001,1968,0.997466
2014,A81070,E06000004,5,0.00253421
2014,A81602,E06000001,17,0.00666667
2014,A81602,E06000004,2533,0.993333
2014,A81605,E06000003,2370,0.999157
2014,A81605,E06000004,2,0.00084317
2014,A81608,E06000001,4,0.00169133
2014,A81608,E06000002,1,0.000422833
2014,A81608,E06000004,2360,0.997886
2014,A81609,E06000002,1,0.000719424
2014,A81609,E06000004,1389,0.999281
2014,A81610,E06000001,79,0.00949633
2014,A81610,E06000004,8240,0.990504
2014,A81611,E06000002,4782,0.971754
2014,A81611,E06000003,77,0.0156472
2014,A81611,E06000004,60,0.0121926
2014,A81611,E06000065,2,0.000406421
2014,A81612,E06000001,2910,0.99897
2014,A81612,E06000004,3,0.00102987
2014,A81613,E06000001,3347,0.996131
2014,A81613,E06000004,10,0.00297619
2014,A81613,E06000047,3,0.000892857
2014,A81618,E06000002,5,0.000669882
2014,A81618,E06000003,7454,0.99866
2014,A81618,E06000004,1,0.000133976
2014,A81618,E06000065,4,0.000535906
2014,A81621,E06000002,2169,0.954665
2014,A81621,E06000003,102,0.0448944
2014,A81621,E06000004,1,0.000440141
2014,A81622,E06000001,5188,0.99387
2014,A81622,E06000002,1,0.000191571
2014,A81622,E06000004,27,0.00517241
2014,A81622,E06000047,4,0.000766284
2014,A81623,E06000002,3,0.00197368
2014,A81623,E06000004,1516,0.997368
2014,A81623,E06000047,1,0.000657895
2014,A81629,E06000004,3781,1
2014,A81630,E06000002,735,0.989233
2014,A81630,E06000003,8,0.0107672
2014,A81631,E06000001,6292,0.993369
2014,A81631,E06000004,19,0.00299968
2014,A81631,E06000047,23,0.0036312
2014,A81632,E06000002,2,0.00271739
2014,A81632,E06000003,1,0.0013587
2014,A81632,E06000004,730,0.991848
2014,A81632,E06000047,1,0.0013587
2014,A81632,E06000065,2,0.00271739
2014,A81633,E06000002,647,0.984779
2014,A81633,E06000003,5,0.00761035
2014,A81633,E06000004,5,0.00761035
2014,A81634,E06000002,9,0.00715421
2014,A81634,E06000004,1249,0.992846
2014,A82003,E06000064,10606,1
2014,A82004,E06000057,157,0.0686189
2014,A82004,E06000064,2131,0.931381
2014,A82005,E06000064,5085,1
2014,A82006,E06000064,4842,1
2014,A82007,E06000064,9320,1
2014,A82008,E06000064,11096,1
2014,A82009,E06000064,8721,1
2014,A82010,E06000064,6498,1
2014,A82011,E06000064,2699,1
2014,A82012,E06000057,229,0.0150926
2014,A82012,E06000063,14754,0.972385
2014,A82012,E06000064,190,0.0125222
2014,A82013,E06000047,5,0.000748503
2014,A82013,E06000063,1,0.000149701
2014,A82013,E06000064,6669,0.998353
2014,A82013,E06000065,5,0.000748503
2014,A82014,E06000063,3424,0.790215
2014,A82014,E06000064,909,0.209785
2014,A82015,E06000063,5954,0.998826
2014,A82015,E06000064,7,0.0011743
2014,A82016,E06000063,14322,0.997423
2014,A82016,E06000064,37,0.00257678
2014,A82017,E06000063,14731,0.999796
2014,A82017,E06000064,3,0.000203611
2014,A82018,E06000063,11462,0.998606
2014,A82018,E06000064,16,0.00139397
2014,A82019,E06000063,8143,0.998651
2014,A82019,E06000064,11,0.00134903
2014,A82020,E06000063,14614,0.999521
2014,A82020,E06000064,7,0.000478763
2014,A82021,E06000063,10242,1
2014,A82022,E06000063,4929,0.956902
2014,A82022,E06000064,222,0.0430984
2014,A82023,E06000063,3761,1
2014,A82024,E06000063,5605,0.999643
2014,A82024,E06000064,2,0.000356697
2014,A82025,E06000064,9222,1
2014,A82026,E06000064,15983,0.999875
2014,A82026,E07000121,2,0.000125117
2014,A82027,E06000064,11226,1
2014,A82028,E06000063,5874,0.929283
2014,A82028,E06000064,447,0.0707167
2014,A82029,E06000063,3313,1
2014,A82030,E06000064,3063,0.520299
2014,A82030,E06000065,249,0.0422966
2014,A82030,E07000121,2575,0.437404
2014,A82031,E06000064,2783,1
2014,A82032,E06000063,13708,1
2014,A82033,E06000063,8458,0.998819
2014,A82033,E06000064,10,0.00118092
2014,A82034,E06000064,6441,0.970176
2014,A82034,E07000121,198,0.0298238
2014,A82035,E06000063,2,0.000126215
2014,A82035,E06000064,15844,0.999874
2014,A82036,E06000063,3,0.000329815
2014,A82036,E06000064,9093,0.99967
2014,A82037,E06000063,4220,0.999763
2014,A82037,E06000064,1,0.000236911
2014,A82038,E06000063,3,0.000675828
2014,A82038,E06000064,4436,0.999324
2014,A82039,E06000064,7512,1
2014,A82040,E06000063,2768,1
2014,A82041,E06000063,10901,1
2014,A82044,E06000063,21927,1
2014,A82045,E06000063,8046,0.999751
2014,A82045,E06000064,2,0.000248509
2014,A82046,E06000064,5699,0.999825
2014,A82046,E07000121,1,0.000175439
2014,A82047,E06000063,9080,1
2014,A82048,E06000063,6577,1
2014,A82049,E06000063,5287,1
2014,A82050,E06000063,7140,1
2014,A82052,E06000063,7222,0.999862
2014,A82052,E06000064,1,0.000138447
2014,A82053,E06000064,4646,1
2014,A82055,E06000063,6942,1
2014,A82057,E06000063,6729,0.999851
2014,A82057,E08000003,1,0.000148588
2014,A82058,E06000063,4007,1
2014,A82060,E06000063,1839,1
2014,A82062,E06000064,4847,1
2014,A82063,E06000063,1707,0.947807
2014,A82063,E06000064,94,0.0521932
2014,A82064,E06000063,4658,1
2014,A82065,E06000063,1,0.000330688
2014,A82065,E06000064,3020,0.998677
2014,A82065,E07000121,1,0.000330688
2014,A82065,E07000128,2,0.000661376
2014,A82068,E06000064,3969,1
2014,A82070,E06000064,6007,0.999834
2014,A82070,E07000121,1,0.000166445
2014,A82071,E06000064,4328,0.999077
2014,A82071,E07000121,1,0.00023084
2014,A82071,E07000124,3,0.000692521
2014,A82072,E06000064,4599,1
2014,A82074,E06000064,1816,0.749484
2014,A82074,E07000121,606,0.250103
2014,A82074,E08000010,1,0.000412712
2014,A82075,E06000063,6396,1
2014,A82077,E06000064,5290,1
2014,A82608,E06000064,4074,0.994386
2014,A82608,E06000065,21,0.0051257
2014,A82608,E07000121,2,0.000488162
2014,A82613,E06000064,961,1
2014,A82617,E06000063,38,0.0170404
2014,A82617,E06000064,2192,0.98296
2014,A82619,E06000064,1644,1
2014,A82620,E06000063,6,0.00843882
2014,A82620,E06000064,705,0.991561
2014,A82621,E06000064,1597,0.998125
2014,A82621,E07000121,3,0.001875
2014,A82623,E06000063,5434,1
2014,A82629,E06000009,1,0.000262123
2014,A82629,E06000064,3812,0.999214
2014,A82629,E07000121,1,0.000262123
2014,A82629,E08000035,1,0.000262123
2014,A82631,E06000063,732,0.252937
2014,A82631,E06000064,2162,0.747063
2014,A82635,E06000063,2112,1
2014,A82641,E06000063,2008,0.998012
2014,A82641,E06000064,4,0.00198807
2014,A82642,E06000064,1160,1
2014,A82646,E06000063,3475,1
2014,A82647,E06000064,2353,0.997457
2014,A82647,E07000121,6,0.00254345
2014,A82650,E06000063,3,0.00110579
2014,A82650,E06000064,2710,0.998894
2014,A82651,E06000063,301,0.0899582
2014,A82651,E06000064,3045,0.910042
2014,A82654,E06000063,4034,0.996049
2014,A82654,E06000064,16,0.00395062
2014,A83001,E06000047,10122,1
2014,A83003,E06000047,9089,1
2014,A83004,E06000047,3679,0.98951
2014,A83004,E08000024,39,0.0104895
2014,A83005,E06000005,11419,0.99965
2014,A83005,E06000047,4,0.000350171
2014,A83006,E06000005,7649,0.996872
2014,A83006,E06000047,3,0.000390981
2014,A83006,E06000065,21,0.00273687
2014,A83007,E06000001,1,0.000107492
2014,A83007,E06000047,9302,0.999893
2014,A83008,E06000005,38,0.00679299
2014,A83008,E06000047,5556,0.993207
2014,A83009,E06000047,8552,0.964693
2014,A83009,E08000024,177,0.0199662
2014,A83009,E08000037,136,0.0153412
2014,A83010,E06000005,14703,0.998574
2014,A83010,E06000047,3,0.000203749
2014,A83010,E06000065,18,0.00122249
2014,A83011,E06000047,26775,1
2014,A83012,E06000001,2,0.000130796
2014,A83012,E06000047,15289,0.999869
2014,A83013,E06000005,10906,0.999267
2014,A83013,E06000047,3,0.000274876
2014,A83013,E06000065,5,0.000458127
2014,A83014,E06000047,7964,1
2014,A83015,E06000005,22,0.00213344
2014,A83015,E06000047,10290,0.997867
2014,A83016,E06000047,11675,1
2014,A83017,E06000001,1,0.00013282
2014,A83017,E06000047,7528,0.999867
2014,A83018,E06000047,19433,0.992391
2014,A83018,E06000057,74.5,0.00380451
2014,A83018,E08000037,74.5,0.00380451
2014,A83019,E06000047,5104,0.993963
2014,A83019,E08000024,31,0.006037
2014,A83020,E06000047,13556,1
2014,A83021,E06000005,20,0.00148776
2014,A83021,E06000047,13423,0.998512
2014,A83022,E06000047,23630,1
2014,A83023,E06000047,10624,0.998872
2014,A83023,E08000037,12,0.00112824
2014,A83024,E06000047,3733,0.634756
2014,A83024,E08000024,2148,0.365244
2014,A83025,E06000005,8,0.000580257
2014,A83025,E06000047,13777,0.999275
2014,A83025,E06000065,2,0.000145064
2014,A83026,E06000047,9653,1
2014,A83027,E06000047,6110,1
2014,A83028,E06000047,6562,0.654303
2014,A83028,E08000024,3361,0.335128
2014,A83028,E08000037,106,0.0105693
2014,A83029,E06000047,4824,1
2014,A83030,E06000047,12045,1
2014,A83031,E06000005,9957,0.994705
2014,A83031,E06000047,3,0.0002997
2014,A83031,E06000065,50,0.004995
2014,A83032,E06000005,8,0.00327065
2014,A83032,E06000047,2428,0.992641
2014,A83032,E06000065,10,0.00408831
2014,A83033,E06000047,8522,0.986343
2014,A83033,E08000024,11,0.00127315
2014,A83033,E08000037,107,0.0123843
2014,A83034,E06000005,10043,0.994553
2014,A83034,E06000047,5,0.000495148
2014,A83034,E06000065,50,0.00495148
2014,A83035,E06000047,7114,0.998877
2014,A83035,E06000057,4,0.00056164
2014,A83035,E08000037,4,0.00056164
2014,A83036,E06000047,11637,1
2014,A83037,E06000005,1947,0.140375
2014,A83037,E06000047,11923,0.859625
2014,A83038,E06000047,5689,0.984086
2014,A83038,E08000037,92,0.0159142
2014,A83040,E06000005,11796,0.998899
2014,A83040,E06000047,3,0.000254044
2014,A83040,E06000065,10,0.000846812
2014,A83041,E06000047,7682,0.9987
2014,A83041,E08000024,10,0.00130005
2014,A83042,E06000001,40,0.00787557
2014,A83042,E06000047,5039,0.992124
2014,A83043,E06000005,1,0.00036846
2014,A83043,E06000047,2711,0.998895
2014,A83043,E06000064,2,0.00073692
2014,A83044,E06000047,7063,1
2014,A83045,E06000047,15034,1
2014,A83046,E06000005,5,0.000486808
2014,A83046,E06000047,9929,0.966702
2014,A83046,E06000065,337,0.0328108
2014,A83047,E06000005,13843,0.996975
2014,A83047,E06000047,2,0.00014404
2014,A83047,E06000065,40,0.00288081
2014,A83048,E06000005,4273,0.775922
2014,A83048,E06000047,6,0.00108952
2014,A83048,E06000065,1228,0.222989
2014,A83049,E06000047,12274,0.978866
2014,A83049,E06000057,133.5,0.0106468
2014,A83049,E08000037,131.5,0.0104873
2014,A83050,E06000047,11478,0.984729
2014,A83050,E08000024,132,0.0113246
2014,A83050,E08000037,46,0.00394647
2014,A83051,E06000047,10200,1
2014,A83052,E06000047,8931,1
2014,A83054,E06000001,185,0.0120302
2014,A83054,E06000004,945,0.0614514
2014,A83054,E06000005,20,0.00130056
2014,A83054,E06000047,14228,0.925218
2014,A83055,E06000047,3739,0.993886
2014,A83055,E08000024,23,0.00611377
2014,A83057,E06000001,67,0.0121092
2014,A83057,E06000004,7,0.00126514
2014,A83057,E06000047,5455,0.985903
2014,A83057,E08000024,4,0.000722935
2014,A83060,E06000005,23,0.00745543
2014,A83060,E06000047,3062,0.992545
2014,A83061,E06000005,465,0.141252
2014,A83061,E06000047,2509,0.762151
2014,A83061,E06000065,318,0.0965978
2014,A83066,E06000005,304,0.0355972
2014,A83066,E06000047,8236,0.964403
2014,A83068,E06000047,1854,1
2014,A83070,E06000004,472,0.0841205
2014,A83070,E06000005,5114,0.911424
2014,A83070,E06000047,2,0.000356443
2014,A83070,E06000065,23,0.00409909
2014,A83071,E06000047,5083,0.998037
2014,A83071,E08000024,10,0.00196348
2014,A83072,E06000047,3815,1
2014,A83073,E06000047,4967,1
2014,A83074,E06000005,409,0.036362
2014,A83074,E06000047,10839,0.963638
2014,A83075,E06000005,5,0.00106542
2014,A83075,E06000047,4567,0.973152
2014,A83075,E08000024,121,0.0257831
2014,A83076,E06000047,2623,1
2014,A83603,E06000047,2755,1
2014,A83610,E06000001,26,0.00961538
2014,A83610,E06000004,3,0.00110947
2014,A83610,E06000047,2675,0.989275
2014,A83616,E06000001,4,0.00172861
2014,A83616,E06000047,2305,0.996111
2014,A83616,E08000024,5,0.00216076
2014,A83617,E06000047,2759,1
2014,A83618,E06000047,2369,0.610567
2014,A83618,E06000057,393.5,0.101418
2014,A83618,E08000021,1,0.000257732
2014,A83618,E08000037,1116.5,0.287758
2014,A83619,E06000001,4,0.001443
2014,A83619,E06000047,2683,0.967893
2014,A83619,E08000024,85,0.0306638
2014,A83622,E06000047,1699,1
2014,A83626,E06000005,4,0.0020377
2014,A83626,E06000047,1959,0.997962
2014,A83627,E06000005,1,0.000226963
2014,A83627,E06000047,2868,0.650931
2014,A83627,E08000024,1537,0.348842
2014,A83630,E06000047,2361,1
2014,A83632,E06000047,2686,1
2014,A83634,E06000047,2642,1
2014,A83635,E06000047,3733,1
2014,A83636,E06000047,5547,0.980382
2014,A83636,E06000057,40,0.00706964
2014,A83636,E08000037,71,0.0125486
2014,A83637,E06000047,1984,1
2014,A83638,E06000005,18,0.012775
2014,A83638,E06000047,1391,0.987225
2014,A83641,E06000005,4717,0.999576
2014,A83641,E06000047,1,0.000211909
2014,A83641,E06000065,1,0.000211909
2014,A83644,E06000047,3295,1
2014,A84002,E06000057,5268,1
2014,A84003,E06000057,13222,1
2014,A84005,E06000057,10933,1
2014,A84006,E06000057,8903,0.999888
2014,A84006,E08000021,1,0.000112309
2014,A84007,E06000057,8784,0.810407
2014,A84007,E08000021,1974,0.18212
2014,A84007,E08000022,74,0.0068272
2014,A84007,E08000037,7,0.000645816
2014,A84008,E06000057,4525,1
2014,A84009,E06000057,13792,1
2014,A84011,E06000057,6303,0.900043
2014,A84011,E08000021,634,0.0905326
2014,A84011,E08000022,21,0.00299871
2014,A84011,E08000037,45,0.00642582
2014,A84013,E06000057,6303,1
2014,A84014,E06000057,10485,0.999905
2014,A84014,E08000022,1,9.53652e-05
2014,A84015,E06000057,2228,1
2014,A84016,E06000057,6637,0.995948
2014,A84016,E08000037,27,0.00405162
2014,A84018,E06000057,6731,0.990581
2014,A84018,E08000037,64,0.00941869
2014,A84020,E06000057,8545,1
2014,A84021,E06000057,9580,1
2014,A84022,E06000057,11275,0.999645
2014,A84022,E08000021,4,0.000354641
2014,A84024,E06000057,8822,0.997512
2014,A84024,E08000037,22,0.00248756
2014,A84025,E06000057,5230,0.936605
2014,A84025,E08000021,12,0.002149
2014,A84025,E08000022,341,0.0610673
2014,A84025,E08000023,1,0.000179083
2014,A84026,E06000057,9373,1
2014,A84027,E06000057,3265,0.999388
2014,A84027,E08000021,2,0.000612182
2014,A84028,E06000057,18992,0.999947
2014,A84028,E08000021,1,5.2651e-05
2014,A84029,E06000057,2838,1
2014,A84030,E06000057,8587,0.939086
2014,A84030,E08000022,557,0.0609143
2014,A84031,E06000057,8964,0.999554
2014,A84031,E08000021,4,0.00044603
2014,A84032,E06000057,2452,1
2014,A84033,E06000047,44,0.00725115
2014,A84033,E06000057,6006.5,0.989865
2014,A84033,E08000037,17.5,0.00288398
2014,A84034,E06000057,5539,0.978968
2014,A84034,E06000063,115,0.0203252
2014,A84034,E06000064,4,0.000706964
2014,A84035,E06000057,4508,0.781418
2014,A84035,E08000021,1,0.00017334
2014,A84035,E08000037,1260,0.218409
2014,A84036,E06000057,17539,0.99943
2014,A84036,E08000022,4,0.000227933
2014,A84036,E08000023,1,5.69833e-05
2014,A84036,E08000024,2,0.000113967
2014,A84036,E08000037,3,0.00017095
2014,A84037,E06000057,4763,0.840183
2014,A84037,E08000022,906,0.159817
2014,A84038,E06000057,5850,0.999829
2014,A84038,E08000022,1,0.000170911
2014,A84039,E06000057,5030,0.999801
2014,A84039,E08000021,1,0.000198768
2014,A84040,E06000047,1,0.000271003
2014,A84040,E06000057,3689,0.999729
2014,A84042,E06000057,1807.5,0.989327
2014,A84042,E08000021,15,0.00821018
2014,A84042,E08000037,4.5,0.00246305
2014,A84043,E06000057,16577,0.978283
2014,A84043,E08000021,1,5.90145e-05
2014,A84043,E08000022,367,0.0216583
2014,A84044,E06000057,6810,0.999853
2014,A84044,E08000021,1,0.000146821
2014,A84045,E06000057,3258,0.999693
2014,A84045,E06000064,1,0.000306843
2014,A84047,E06000047,43,0.00784815
2014,A84047,E06000057,5170.5,0.943694
2014,A84047,E08000037,265.5,0.0484577
2014,A84048,E06000057,8746,1
2014,A84604,E06000057,1899,1
2014,A84609,E06000057,1665,0.9994
2014,A84609,E08000022,1,0.00060024
2014,A84613,E06000057,811,1
2014,A84614,E06000057,1906,0.967513
2014,A84614,E08000021,2,0.00101523
2014,A84614,E08000037,62,0.0314721
2014,A84618,E06000057,2230,1
2014,A84619,E06000057,3416,0.942345
2014,A84619,E08000021,3,0.000827586
2014,A84619,E08000022,206,0.0568276
2014,A85001,E06000047,31,0.00423903
2014,A85001,E08000024,63,0.0086148
2014,A85001,E08000037,7219,0.987146
2014,A85002,E08000021,1,0.000214592
2014,A85002,E08000024,22,0.00472103
2014,A85002,E08000037,4637,0.995064
2014,A85003,E06000057,11,0.00160631
2014,A85003,E08000037,6837,0.998394
2014,A85004,E08000021,1,9.14244e-05
2014,A85004,E08000023,11,0.00100567
2014,A85004,E08000024,93,0.00850247
2014,A85004,E08000037,10833,0.9904
2014,A85005,E08000021,2,0.000132917
2014,A85005,E08000023,1,6.64584e-05
2014,A85005,E08000024,44,0.00292417
2014,A85005,E08000037,15000,0.996876
2014,A85006,E06000057,0.5,5.41419e-05
2014,A85006,E08000021,1,0.000108284
2014,A85006,E08000022,1,0.000108284
2014,A85006,E08000023,1,0.000108284
2014,A85006,E08000024,1,0.000108284
2014,A85006,E08000037,9230.5,0.999513
2014,A85007,E06000047,26,0.00309782
2014,A85007,E08000021,1,0.000119147
2014,A85007,E08000024,62,0.00738711
2014,A85007,E08000037,8304,0.989396
2014,A85008,E06000047,3153,0.199519
2014,A85008,E08000024,186,0.0117699
2014,A85008,E08000037,12464,0.788711
2014,A85009,E08000023,6,0.000896191
2014,A85009,E08000024,41,0.00612397
2014,A85009,E08000037,6648,0.99298
2014,A85010,E06000057,2.5,0.00022606
2014,A85010,E08000021,2,0.000180848
2014,A85010,E08000024,4,0.000361696
2014,A85010,E08000037,11050.5,0.999231
2014,A85011,E08000023,6,0.000731172
2014,A85011,E08000024,7,0.000853034
2014,A85011,E08000037,8193,0.998416
2014,A85012,E08000023,1,0.000246184
2014,A85012,E08000024,1,0.000246184
2014,A85012,E08000037,4060,0.999508
2014,A85013,E08000021,1,0.00032
2014,A85013,E08000023,11,0.00352
2014,A85013,E08000037,3113,0.99616
2014,A85014,E06000057,110,0.0147611
2014,A85014,E08000037,7342,0.985239
2014,A85015,E08000024,94,0.0504292
2014,A85015,E08000037,1770,0.949571
2014,A85016,E08000023,1,0.000121743
2014,A85016,E08000024,1416,0.172389
2014,A85016,E08000037,6797,0.82749
2014,A85017,E08000024,9,0.00148588
2014,A85017,E08000037,6048,0.998514
2014,A85018,E06000057,1.5,0.000284522
2014,A85018,E08000037,5270.5,0.999715
2014,A85019,E08000021,4,0.000390739
2014,A85019,E08000024,4,0.000390739
2014,A85019,E08000037,10229,0.999219
2014,A85020,E06000047,2,0.000121914
2014,A85020,E06000057,1,6.0957e-05
2014,A85020,E08000021,1,6.0957e-05
2014,A85020,E08000037,16401,0.999756
2014,A85021,E06000047,30,0.012685
2014,A85021,E08000021,35,0.0147992
2014,A85021,E08000022,6,0.002537
2014,A85021,E08000023,11,0.00465116
2014,A85021,E08000024,21,0.00887949
2014,A85021,E08000037,2262,0.956448
2014,A85023,E08000037,5068,1
2014,A85024,E06000047,113,0.0420543
2014,A85024,E06000057,434.5,0.161705
2014,A85024,E08000021,19,0.00707108
2014,A85024,E08000037,2120.5,0.78917
2014,A85026,E06000047,66,0.0146667
2014,A85026,E08000021,5,0.00111111
2014,A85026,E08000024,95,0.0211111
2014,A85026,E08000037,4334,0.963111
2014,A85605,E06000057,4,0.00173461
2014,A85605,E08000037,2302,0.998265
2014,A85609,E06000047,91,0.0537507
2014,A85609,E06000057,25.5,0.015062
2014,A85609,E08000021,68,0.0401654
2014,A85609,E08000022,8,0.00472534
2014,A85609,E08000023,7,0.00413467
